Rank,Algorithm_Family,Configuration,Full_Name,Mean_Reward,Std_Reward,Improvement_Percent,Performance_Tier,Training_Time_Minutes,Success_Rate,Early_Stop
1,PPO,aggressive,PPO_AGGRESSIVE,-151.85,22.4238154648133,74.68322774258085,ELITE TIER,7.5197476666666665,1.0,False
2,PPO,conservative,PPO_CONSERVATIVE,-153.6,18.312290954438225,74.39146382127375,ELITE TIER,6.22016895,1.0,False
3,PPO,high_entropy,PPO_HIGH_ENTROPY,-154.0,22.658331800907145,74.32477492497499,ELITE TIER,6.89628675,1.0,False
4,PPO,main_training,PPO_MAIN_TRAINING,-158.25,20.41292482717751,73.6162054018006,EXCELLENCE TIER,5.7775134,1.0,False
5,ACTOR_CRITIC,balanced,ACTOR_CRITIC_BALANCED,-182.7,17.830030846860588,69.53984661553851,EXCELLENCE TIER,2.13022135,1.0,False
6,ACTOR_CRITIC,conservative,ACTOR_CRITIC_CONSERVATIVE,-188.3,22.729056293651965,68.60620206735578,EXCELLENCE TIER,1.5049760333333333,1.0,False
7,REINFORCE,main_training,REINFORCE_MAIN_TRAINING,-188.95,25.28532182907704,68.49783261087029,EXCELLENCE TIER,0.84722255,1.0,True
8,REINFORCE,conservative,REINFORCE_CONSERVATIVE,-191.1,23.97477841399165,68.13937979326442,EXCELLENCE TIER,2.346078933333333,1.0,False
9,REINFORCE,moderate,REINFORCE_MODERATE,-242.8,27.870414421030773,59.51983994664888,MODERATE TIER,1.5534183000000001,1.0,True
10,Random,baseline,RANDOM_BASELINE,-599.8,223.8,0.0,REFERENCE,0.0,0.0,False
11,DQN,aggressive,DQN_AGGRESSIVE,-778.6,458.26721462483,-29.80993664554853,FAILURE TIER,6.2952395,0.0,False
12,DQN,main_training,DQN_MAIN_TRAINING,-1371.2,644.7992400739939,-128.60953651217076,CATASTROPHIC TIER,5.63231665,0.0,False
13,DQN,conservative,DQN_CONSERVATIVE,-7312.85,197.5766370297865,-1119.214738246082,CATASTROPHIC TIER,5.467882883333333,0.0,False
14,ACTOR_CRITIC,baseline,ACTOR_CRITIC_BASELINE,-9238.35,113.48227835217267,-1440.2384128042684,CATASTROPHIC TIER,21.07762985,0.0,False
15,ACTOR_CRITIC,aggressive,ACTOR_CRITIC_AGGRESSIVE,-14970.75,8.104782538723663,-2395.9569856618878,CATASTROPHIC TIER,23.472419483333333,0.0,False
