Algorithm,Episode,Reward,Episode_Length,Vehicles_Processed,Final_Queue_Length
PPO_AGGRESSIVE,1,-151.85,500,25,15
PPO_AGGRESSIVE,2,-151.85,500,25,15
PPO_AGGRESSIVE,3,-151.85,500,25,15
PPO_AGGRESSIVE,4,-151.85,500,25,15
PPO_AGGRESSIVE,5,-151.85,500,25,15
PPO_AGGRESSIVE,6,-151.85,500,25,15
PPO_AGGRESSIVE,7,-151.85,500,25,15
PPO_AGGRESSIVE,8,-151.85,500,25,15
PPO_AGGRESSIVE,9,-151.85,500,25,15
PPO_AGGRESSIVE,10,-151.85,500,25,15
PPO_AGGRESSIVE,11,-151.85,500,25,15
PPO_AGGRESSIVE,12,-151.85,500,25,15
PPO_AGGRESSIVE,13,-151.85,500,25,15
PPO_AGGRESSIVE,14,-151.85,500,25,15
PPO_AGGRESSIVE,15,-151.85,500,25,15
PPO_AGGRESSIVE,16,-151.85,500,25,15
PPO_AGGRESSIVE,17,-151.85,500,25,15
PPO_AGGRESSIVE,18,-151.85,500,25,15
PPO_AGGRESSIVE,19,-151.85,500,25,15
PPO_AGGRESSIVE,20,-151.85,500,25,15
PPO_AGGRESSIVE,21,-151.85,500,25,15
PPO_AGGRESSIVE,22,-151.85,500,25,15
PPO_AGGRESSIVE,23,-151.85,500,25,15
PPO_AGGRESSIVE,24,-151.85,500,25,15
PPO_AGGRESSIVE,25,-151.85,500,25,15
PPO_AGGRESSIVE,26,-151.85,500,25,15
PPO_AGGRESSIVE,27,-151.85,500,25,15
PPO_AGGRESSIVE,28,-151.85,500,25,15
PPO_AGGRESSIVE,29,-151.85,500,25,15
PPO_AGGRESSIVE,30,-151.85,500,25,15
PPO_AGGRESSIVE,31,-151.85,500,25,15
PPO_AGGRESSIVE,32,-151.85,500,25,15
PPO_AGGRESSIVE,33,-151.85,500,25,15
PPO_AGGRESSIVE,34,-151.85,500,25,15
PPO_AGGRESSIVE,35,-151.85,500,25,15
PPO_AGGRESSIVE,36,-151.85,500,25,15
PPO_AGGRESSIVE,37,-151.85,500,25,15
PPO_AGGRESSIVE,38,-151.85,500,25,15
PPO_AGGRESSIVE,39,-151.85,500,25,15
PPO_AGGRESSIVE,40,-151.85,500,25,15
PPO_AGGRESSIVE,41,-151.85,500,25,15
PPO_AGGRESSIVE,42,-151.85,500,25,15
PPO_AGGRESSIVE,43,-151.85,500,25,15
PPO_AGGRESSIVE,44,-151.85,500,25,15
PPO_AGGRESSIVE,45,-151.85,500,25,15
PPO_AGGRESSIVE,46,-151.85,500,25,15
PPO_AGGRESSIVE,47,-151.85,500,25,15
PPO_AGGRESSIVE,48,-151.85,500,25,15
PPO_AGGRESSIVE,49,-151.85,500,25,15
PPO_AGGRESSIVE,50,-151.85,500,25,15
PPO_CONSERVATIVE,1,-153.6,500,25,15
PPO_CONSERVATIVE,2,-153.6,500,25,15
PPO_CONSERVATIVE,3,-153.6,500,25,15
PPO_CONSERVATIVE,4,-153.6,500,25,15
PPO_CONSERVATIVE,5,-153.6,500,25,15
PPO_CONSERVATIVE,6,-153.6,500,25,15
PPO_CONSERVATIVE,7,-153.6,500,25,15
PPO_CONSERVATIVE,8,-153.6,500,25,15
PPO_CONSERVATIVE,9,-153.6,500,25,15
PPO_CONSERVATIVE,10,-153.6,500,25,15
PPO_CONSERVATIVE,11,-153.6,500,25,15
PPO_CONSERVATIVE,12,-153.6,500,25,15
PPO_CONSERVATIVE,13,-153.6,500,25,15
PPO_CONSERVATIVE,14,-153.6,500,25,15
PPO_CONSERVATIVE,15,-153.6,500,25,15
PPO_CONSERVATIVE,16,-153.6,500,25,15
