Algorithm_Family,Configuration,Full_Name,Mean_Reward,Std_Reward,Improvement_Percent,Performance_Tier,Mean_Episode_Length,Mean_Vehicles_Processed,Mean_Final_Queue,Average_Waiting_Time,Emergency_Response_Time,Stability_Score,Training_Time_Minutes,Success_Rate,N_Episodes
PPO,aggressive,PPO_AGGRESSIVE,-151.85,22.4238154648133,74.68322774258085,ELITE TIER,500,25,15,100,0,1.0,7.5197476666666665,1.0,50
PPO,conservative,PPO_CONSERVATIVE,-153.6,18.312290954438225,74.39146382127375,ELITE TIER,500,25,15,100,0,1.0,6.22016895,1.0,50
PPO,high_entropy,PPO_HIGH_ENTROPY,-154.0,22.658331800907145,74.32477492497499,ELITE TIER,500,25,15,100,0,1.0,6.89628675,1.0,50
PPO,main_training,PPO_MAIN_TRAINING,-158.25,20.41292482717751,73.6162054018006,EXCELLENCE TIER,500,25,15,100,0,1.0,5.7775134,1.0,50
ACTOR_CRITIC,balanced,ACTOR_CRITIC_BALANCED,-182.7,17.830030846860588,69.53984661553851,EXCELLENCE TIER,500,25,15,100,0,1.0,2.13022135,1.0,50
ACTOR_CRITIC,conservative,ACTOR_CRITIC_CONSERVATIVE,-188.3,22.729056293651965,68.60620206735578,EXCELLENCE TIER,500,25,15,100,0,1.0,1.5049760333333333,1.0,50
REINFORCE,main_training,REINFORCE_MAIN_TRAINING,-188.95,25.28532182907704,68.49783261087029,EXCELLENCE TIER,500,25,15,100,0,1.0,0.84722255,1.0,50
REINFORCE,conservative,REINFORCE_CONSERVATIVE,-191.1,23.97477841399165,68.13937979326442,EXCELLENCE TIER,500,25,15,100,0,1.0,2.346078933333333,1.0,50
REINFORCE,moderate,REINFORCE_MODERATE,-242.8,27.870414421030773,59.51983994664888,MODERATE TIER,500,25,15,100,0,1.0,1.5534183000000001,1.0,50
Random,baseline,RANDOM_BASELINE,-599.8,223.8,0.0,REFERENCE,500,25,15,100,0,1.0,0.0,0.0,50
DQN,aggressive,DQN_AGGRESSIVE,-778.6,458.26721462483,-29.80993664554853,FAILURE TIER,500,25,15,100,0,1.0,6.2952395,0.0,50
DQN,main_training,DQN_MAIN_TRAINING,-1371.2,644.7992400739939,-128.60953651217076,CATASTROPHIC TIER,500,25,15,100,0,1.0,5.63231665,0.0,50
DQN,conservative,DQN_CONSERVATIVE,-7312.85,197.5766370297865,-1119.214738246082,CATASTROPHIC TIER,500,25,15,100,0,1.0,5.467882883333333,0.0,50
ACTOR_CRITIC,baseline,ACTOR_CRITIC_BASELINE,-9238.35,113.48227835217267,-1440.2384128042684,CATASTROPHIC TIER,500,25,15,100,0,1.0,21.07762985,0.0,50
ACTOR_CRITIC,aggressive,ACTOR_CRITIC_AGGRESSIVE,-14970.75,8.104782538723663,-2395.9569856618878,CATASTROPHIC TIER,500,25,15,100,0,1.0,23.472419483333333,0.0,50
