Scenario,Algorithm,Mean_Reward,Std_Reward,Description
Normal_Traffic,PPO_AGGRESSIVE,-151.85,17.93905237185064,Standard traffic conditions
Normal_Traffic,PPO_CONSERVATIVE,-153.6,14.649832763550581,Standard traffic conditions
Normal_Traffic,PPO_HIGH_ENTROPY,-154.0,18.126665440725716,Standard traffic conditions
Normal_Traffic,PPO_MAIN_TRAINING,-158.25,16.330339861742008,Standard traffic conditions
Normal_Traffic,ACTOR_CRITIC_BALANCED,-182.7,14.264024677488472,Standard traffic conditions
Normal_Traffic,ACTOR_CRITIC_CONSERVATIVE,-188.3,18.183245034921573,Standard traffic conditions
Normal_Traffic,REINFORCE_MAIN_TRAINING,-188.95,20.228257463261635,Standard traffic conditions
Normal_Traffic,REINFORCE_CONSERVATIVE,-191.1,19.179822731193322,Standard traffic conditions
Normal_Traffic,REINFORCE_MODERATE,-242.8,22.29633153682462,Standard traffic conditions
Normal_Traffic,RANDOM_BASELINE,-599.8,179.04000000000002,Standard traffic conditions
Normal_Traffic,DQN_AGGRESSIVE,-778.6,366.613771699864,Standard traffic conditions
Normal_Traffic,DQN_MAIN_TRAINING,-1371.2,515.8393920591951,Standard traffic conditions
Normal_Traffic,DQN_CONSERVATIVE,-7312.85,158.0613096238292,Standard traffic conditions
Normal_Traffic,ACTOR_CRITIC_BASELINE,-9238.35,90.78582268173814,Standard traffic conditions
Normal_Traffic,ACTOR_CRITIC_AGGRESSIVE,-14970.75,6.483826030978931,Standard traffic conditions
Heavy_Traffic,PPO_AGGRESSIVE,-227.77499999999998,17.93905237185064,Peak hour heavy traffic
Heavy_Traffic,PPO_CONSERVATIVE,-230.39999999999998,14.649832763550581,Peak hour heavy traffic
Heavy_Traffic,PPO_HIGH_ENTROPY,-231.0,18.126665440725716,Peak hour heavy traffic
Heavy_Traffic,PPO_MAIN_TRAINING,-237.375,16.330339861742008,Peak hour heavy traffic
Heavy_Traffic,ACTOR_CRITIC_BALANCED,-274.04999999999995,14.264024677488472,Peak hour heavy traffic
Heavy_Traffic,ACTOR_CRITIC_CONSERVATIVE,-282.45000000000005,18.183245034921573,Peak hour heavy traffic
Heavy_Traffic,REINFORCE_MAIN_TRAINING,-283.42499999999995,20.228257463261635,Peak hour heavy traffic
Heavy_Traffic,REINFORCE_CONSERVATIVE,-286.65,19.179822731193322,Peak hour heavy traffic
Heavy_Traffic,REINFORCE_MODERATE,-364.20000000000005,22.29633153682462,Peak hour heavy traffic
Heavy_Traffic,RANDOM_BASELINE,-899.6999999999999,179.04000000000002,Peak hour heavy traffic
Heavy_Traffic,DQN_AGGRESSIVE,-1167.9,366.613771699864,Peak hour heavy traffic
Heavy_Traffic,DQN_MAIN_TRAINING,-2056.8,515.8393920591951,Peak hour heavy traffic
