episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,-1025,104,-1025.0,293,0,0,0,6.086627642313639e-05
2,0,-793,77,-909.0,177,0,0,0,0.00011000176270802816
3,0,-678,69,-832.0,187,0,0,0,0.00017092625300089517
4,0,-436,45,-733.0,110,0,0,0,0.00020622041490342882
5,0,-526,53,-691.6,136,0,0,0,0.00024805559052361385
6,0,-1552,153,-835.0,382,0,0,0,0.00036314725875854494
7,0,-814,93,-832.0,209,0,0,0,0.00043864071369171143
8,0,-1752,171,-947.0,492,0,0,0,0.0005710559421115451
9,0,-4155,392,-1303.4444444444443,1254,0,0,0,0.0008403680721918742
10,0,-1494,150,-1322.5,455,0,0,0.0,0.0009377785523732503
11,0,-5153,500,-1670.7272727272727,1425,0,0,0.0,0.001295298139254252
12,0,-3665,365,-1836.9166666666667,1107,0,0,0.0,0.0015488482183880275
13,0,-484,42,-1732.8461538461538,97,0,0,0.0,0.0015836839543448553
14,0,-4820,500,-1953.357142857143,1658,0,0,0.0,0.0019667310184902616
15,0,-4303,500,-2110.0,1507,0,0,0.0,0.002343631717893812
16,0,-4248,500,-2243.625,1466,0,0,0.0,0.00271785040696462
17,0,-297,24,-2129.1176470588234,22,0,0,0.0,0.0027355345752504137
18,0,-4243,461,-2246.5555555555557,1327,0,0,0.0,0.0031641515096028647
19,0,-4212,500,-2350.0,1475,0,0,0.0,0.003547022342681885
20,0,-4592,500,-2462.1,1464,0,0,-2279.2,0.003808970252672831
21,0,-2712,279,-2474.0,834,0,0,-1622.3,0.0039470832877688935
22,0,-742,77,-2395.2727272727275,209,0,0,-1042.8000000000002,0.003987505303488837
23,0,-3182,350,-2429.478260869565,988,0,0,-1332.0,0.004172032144334581
24,0,-4732,500,-2525.4166666666665,1443,0,0,-884.8000000000002,0.004406766891479492
25,0,-4315,494,-2597.0,1276,0,0,-508.3000000000002,0.004635465674930148
26,0,-2335,254,-2586.923076923077,615,0,0,-47.399999999999636,0.004749897917111715
27,0,-4313,500,-2650.8518518518517,1387,0,0,-500.7000000000003,0.004976748029390971
28,0,-211,16,-2563.714285714286,0,0,0,151.5999999999999,0.0049848155842887034
29,0,-4038,500,-2614.551724137931,1280,0,0,174.70000000000027,0.005211639271842108
30,0,-4124,500,-2664.866666666667,1250,0,0,531.2999999999997,0.005442731512917413
31,0,-4047,500,-2709.451612903226,1376,0,0,153.69999999999982,0.005668675171004401
32,0,-4059,500,-2751.625,1343,0,0,-470.2999999999997,0.00590440379248725
33,0,-4045,500,-2790.818181818182,1291,0,0,-286.8000000000002,0.0061305898427963254
34,0,-4153,500,-2830.8823529411766,1282,0,0,-237.69999999999982,0.006370097663667467
35,0,-4598,500,-2881.3714285714286,1255,0,0,-264.8000000000002,0.006614240341716342
36,0,-4884,500,-2937.0,1270,0,0,-711.0,0.00686592784192827
37,0,-4245,500,-2972.3513513513512,1273,0,0,-302.5999999999999,0.007126218477884929
38,0,-4321,500,-3007.842105263158,1218,0,0,-1116.7999999999997,0.0073900396294063996
39,0,-3975,500,-3032.641025641026,1209,0,0,-1127.9000000000005,0.0076394731468624535
40,0,-4286,500,-3063.975,1270,0,0,-1190.9,0.007910504274898105
41,0,-4350,500,-3095.3414634146343,1246,0,0,-1087.7000000000003,0.008179334203402201
42,0,-4172,500,-3120.9761904761904,1265,0,0,-767.2999999999997,0.008483036425378588
43,0,-4006,500,-3141.5581395348836,1199,0,0,-677.0999999999999,0.00876128249698215
44,0,-3941,500,-3159.7272727272725,1224,0,0,-713.8000000000002,0.009035562806659275
45,0,-4114,500,-3180.9333333333334,1256,0,0,-637.0999999999995,0.00946107096142239
46,0,-4343,500,-3206.195652173913,1270,0,0,-328.10000000000036,0.009790587094095018
47,0,-4348,500,-3230.4893617021276,1224,0,0,-345.2000000000003,0.010160118208991157
48,0,-7142,500,-3311.9791666666665,1227,0,0,-216.30000000000018,0.010573898686303033
49,0,-4630,500,-3338.877551020408,1259,0,0,-288.09999999999945,0.010977058940463595
50,0,-4111,500,-3354.32,1318,0,0,-254.39999999999964,0.011352432171503703
51,0,-4210,500,-3371.098039215686,1243,0,0,-210.09999999999945,0.011737290620803833
52,0,-4092,500,-3384.9615384615386,1275,0,0,-190.80000000000018,0.012097727060317993
53,0,-4069,500,-3397.867924528302,1246,0,0,-201.0,0.012458128664228652
54,0,-3975,500,-3408.5555555555557,1204,0,0,-225.59999999999945,0.012833890318870545
55,0,-3998,500,-3419.2727272727275,1217,0,0,-262.40000000000055,0.0133955051501592
56,0,-3994,500,-3429.535714285714,1228,0,0,-281.59999999999945,0.013884811335139805
57,0,-4066,500,-3440.7017543859647,1234,0,0,-243.09999999999945,0.01424162917666965
58,0,-4000,500,-3450.344827586207,1176,0,0,353.1999999999998,0.014595191743638781
59,0,-3969,500,-3459.135593220339,1204,0,0,484.7999999999997,0.014950715435875787
60,0,-256,18,-3405.75,0,0,0,852.7999999999997,0.014968857169151306
61,0,-4016,500,-3415.754098360656,1230,0,0,858.1999999999998,0.015391485095024108
62,0,-3985,500,-3424.935483870968,1226,0,0,860.8999999999996,0.015776417652765908
63,0,-4081,500,-3435.3492063492063,1234,0,0,866.0,0.016108481486638387
64,0,-779,55,-3393.84375,90,0,0,1188.9999999999995,0.016146946019596525
65,0,-4114,500,-3404.923076923077,1185,0,0,1165.8000000000002,0.016552038457658555
66,0,-4114,500,-3415.6666666666665,1263,0,0,1118.8999999999996,0.01689887583255768
67,0,-3963,500,-3423.8358208955224,1175,0,0,1101.0,0.01725173142221239
68,0,-3947,500,-3431.529411764706,1171,0,0,792.0999999999999,0.017668016950289408
69,0,-3975,500,-3439.4057971014495,1209,0,0,725.4000000000001,0.018066630760828654
70,0,-4011,500,-3447.5714285714284,1223,0,0,-35.59999999999991,0.01844772305753496
