episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,-1058,101,-1058.0,308,0,0,0,9.041726589202881e-05
2,0,-1955,197,-1506.5,596,0,0,0,0.00026552306281195744
3,0,-437,38,-1150.0,73,0,0,0,0.0002964594629075792
4,0,-719,78,-1042.25,203,0,0,0,0.0003591518931918674
5,0,-621,58,-958.0,130,0,0,0,0.0004050824377271864
6,0,-1472,156,-1043.6666666666667,406,0,0,0,0.0005243992143207126
7,0,-379,40,-948.7142857142857,81,0,0,0,0.0005602237913343641
8,0,-670,69,-913.875,190,0,0,0,0.0006174144479963514
9,0,-573,58,-876.0,132,0,0,0,0.0006718326939476861
10,0,-496,52,-838.0,155,0,0,0.0,0.0007228828138775296
11,0,-545,61,-811.3636363636364,178,0,0,0.0,0.0008071936501397027
12,0,-278,26,-766.9166666666666,23,0,0,0.0,0.0008285585376951429
13,0,-765,76,-766.7692307692307,204,0,0,0.0,0.0009278306033876207
14,0,-294,34,-733.0,92,0,0,0.0,0.0009613818592495388
15,0,-2726,267,-865.8666666666667,817,0,0,0.0,0.0011930014689763386
16,0,-577,53,-847.8125,102,0,0,0.0,0.0012371277146869235
17,0,-238,26,-811.9411764705883,36,0,0,0.0,0.0012616197268168132
18,0,-1817,187,-867.7777777777778,627,0,0,0.0,0.0014258222447501288
19,0,-890,79,-868.9473684210526,230,0,0,0.0,0.00150151703092787
20,0,-1543,145,-902.65,435,0,0,-129.29999999999995,0.0016389387845993043
21,0,-461,45,-881.6190476190476,131,0,0,-172.19999999999993,0.0016767891910341051
22,0,-1247,122,-898.2272727272727,319,0,0,-436.79999999999995,0.0017821472220950656
23,0,-1858,181,-939.9565217391304,583,0,0,-513.3,0.0020122504896587794
24,0,-610,55,-926.2083333333334,124,0,0,-587.4000000000001,0.002074911461936103
25,0,-294,21,-900.92,7,0,0,-133.70000000000005,0.0021005550358030533
26,0,-7478,500,-1153.8846153846155,1201,0,0,-913.3,0.0027589470148086546
27,0,-7460,500,-1387.4444444444443,1238,0,0,-1649.6000000000001,0.0031770116753048368
28,0,-7475,500,-1604.857142857143,1183,0,0,-2100.7,0.003576864202817281
29,0,-7475,500,-1807.2758620689656,1182,0,0,-2727.5,0.004076859951019287
30,0,-7465,500,-1995.8666666666666,1173,0,0,-3215.0,0.004719877110587226
31,0,-7480,500,-2172.7741935483873,1195,0,0,-3925.2999999999997,0.005431784722540114
32,0,-7485,500,-2338.78125,1192,0,0,-4452.2,0.006126177774535285
33,0,-7480,500,-2494.5757575757575,1158,0,0,-4905.1,0.006672112279468113
34,0,-7475,500,-2641.0588235294117,1207,0,0,-5560.0,0.0070837399032380845
35,0,-7475,500,-2779.1714285714284,1223,0,0,-6521.3,0.007519374092419942
36,0,-7462,500,-2909.25,1195,0,0,-5829.6,0.007961926460266113
37,0,-7465,500,-3032.3783783783783,1210,0,0,-5107.9,0.008338847955067952
38,0,-7470,500,-3149.157894736842,1194,0,0,-4541.6,0.008806411623954773
39,0,-7480,500,-3260.2051282051284,1195,0,0,-3883.6,0.009203780028555129
40,0,-7465,500,-3365.325,1211,0,0,-3291.3999999999996,0.009541175100538465
41,0,-7460,500,-3465.1951219512193,1199,0,0,-2587.5,0.009942153029971652
42,0,-7480,500,-3560.785714285714,1225,0,0,-1963.1999999999998,0.010307085315386454
43,0,-7465,500,-3651.5813953488373,1255,0,0,-1399.5,0.010698951813909743
44,0,-7460,500,-3738.1363636363635,1212,0,0,-711.5,0.011042848494317796
45,0,-7485,500,-3821.4,1181,0,0,5.600000000000364,0.011411746276749506
46,0,-7475,500,-3900.8260869565215,1203,0,0,2.699999999999818,0.011854521632194519
47,0,-7465,500,-3976.659574468085,1199,0,0,3.199999999999818,0.012224534617529976
48,0,-7490,500,-4049.8541666666665,1209,0,0,0.6999999999998181,0.012835442225138346
49,0,-7440,500,-4119.040816326531,1216,0,0,5.199999999999818,0.013239015009668138
50,0,-7475,500,-4186.16,1231,0,0,4.199999999999818,0.01362403412659963
51,0,-7485,500,-4250.843137254902,1195,0,0,-0.3000000000001819,0.014048253430260553
52,0,-7473,500,-4312.807692307692,1212,0,0,-0.1000000000003638,0.014393616053793166
53,0,-7470,500,-4372.377358490566,1222,0,0,-2.100000000000364,0.014823246863153245
54,0,-7465,500,-4429.648148148148,1220,0,0,-4.100000000000364,0.015190831687715319
55,0,-7460,500,-4484.745454545455,1210,0,0,-0.6000000000003638,0.015552397767702739
56,0,-7470,500,-4538.053571428572,1162,0,0,1.199999999999818,0.015990099575784473
57,0,-7485,500,-4589.754385964912,1215,0,0,-0.8000000000001819,0.016401280760765077
58,0,-7455,500,-4639.1551724137935,1197,0,0,4.699999999999818,0.016763443880610997
59,0,-7480,500,-4687.3050847457625,1155,0,0,-3.300000000000182,0.01718037684758504
60,0,-7460,500,-4733.516666666666,1160,0,0,-0.8000000000001819,0.017586845689349706
61,0,-7465,500,-4778.295081967213,1216,0,0,3.699999999999818,0.01799487696753608
62,0,-7470,500,-4821.709677419355,1185,0,0,3.300000000000182,0.018324980934460958
63,0,-7450,500,-4863.428571428572,1230,0,0,5.800000000000182,0.01867136756579081
64,0,-7470,500,-4904.15625,1178,0,0,5.800000000000182,0.01910830510987176
65,0,-7475,500,-4943.707692307692,1181,0,0,1.800000000000182,0.019479759799109566
66,0,-7490,500,-4982.287878787879,1218,0,0,-0.6999999999998181,0.019892246458265518
67,0,-7480,500,-5019.567164179104,1194,0,0,1.800000000000182,0.02022155357731713
68,0,-7475,500,-5055.676470588235,1169,0,0,-3.699999999999818,0.02066300067636702
69,0,-7475,500,-5090.739130434783,1155,0,0,0.8000000000001819,0.021035691764619616
70,0,-7480,500,-5124.871428571429,1205,0,0,-2.699999999999818,0.021379132138358223
71,0,-7460,500,-5157.760563380281,1196,0,0,-4.199999999999818,0.021795585817760893
72,0,-7475,500,-5189.944444444444,1162,0,0,-5.0,0.022170579499668545
73,0,-7460,500,-5221.041095890411,1184,0,0,-8.0,0.022553238073984783
74,0,-7470,500,-5251.4324324324325,1179,0,0,-7.5,0.02292217685116662
75,0,-7480,500,-5281.1466666666665,1211,0,0,-6.5,0.023370650543106927
76,0,-7480,500,-5310.078947368421,1190,0,0,-3.5,0.023785215417544046
77,0,-7480,500,-5338.25974025974,1181,0,0,-4.0,0.02413782623079088
78,0,-7475,500,-5365.653846153846,1179,0,0,-2.0,0.024536551700698003
79,0,-7465,500,-5392.227848101265,1160,0,0,-1.5,0.02495450695355733
80,0,-7490,500,-5418.45,1211,0,0,-0.5,0.025315982037120394
81,0,-7470,500,-5443.777777777777,1200,0,0,-2.0,0.025715428259637622
82,0,-7480,500,-5468.609756097561,1171,0,0,-2.0,0.026065281298425464
83,0,-7465,500,-5492.6626506024095,1151,0,0,-1.5,0.026488912635379367
84,0,-7480,500,-5516.321428571428,1187,0,0,-2.5,0.026843422055244447
85,0,-7470,500,-5539.305882352941,1182,0,0,-1.0,0.027173207733366223
86,0,-7460,500,-5561.639534883721,1242,0,0,0.0,0.027580385274357265
87,0,-7480,500,-5583.689655172414,1191,0,0,0.0,0.027956456939379374
88,0,-7440,500,-5604.784090909091,1246,0,0,3.5,0.02833758274714152
89,0,-7470,500,-5625.741573033708,1200,0,0,2.0,0.028680480784840055
