episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,-506,55,-506.0,145,0,0,0,7.185485627916124e-05
2,0,-561,64,-533.5,164,0,0,0,0.00015020622147454156
3,0,-583,57,-550.0,150,0,0,0,0.00022002107567257353
4,0,-324,38,-493.5,63,0,0,0,0.00031697750091552734
5,0,-1638,154,-722.4,453,0,0,0,0.0005274756749471029
6,0,-573,61,-697.5,144,0,0,0,0.0006086879968643189
7,0,-2468,232,-950.4285714285714,697,0,0,0,0.0009558665090137057
8,0,-1454,142,-1013.375,401,0,0,0,0.0011335148413976032
9,0,-181,21,-920.8888888888889,14,0,0,0,0.0011628917853037516
10,0,-531,55,-881.9,151,0,0,0.0,0.00122748421298133
11,0,-2473,230,-1026.5454545454545,680,0,0,0.0,0.0015813998381296794
12,0,-334,37,-968.8333333333334,91,0,0,0.0,0.0016320909394158258
13,0,-2154,196,-1060.0,561,0,0,0.0,0.0019280441602071126
14,0,-940,93,-1051.4285714285713,316,0,0,0.0,0.0020403656694624158
15,0,-1011,94,-1048.7333333333333,307,0,0,0.0,0.0021635140975316365
16,0,-416,34,-1009.1875,43,0,0,0.0,0.0022543079323238797
17,0,-565,55,-983.0588235294117,176,0,0,0.0,0.0023364223374260796
18,0,-556,57,-959.3333333333334,155,0,0,0.0,0.0024092863003412884
19,0,-798,77,-950.8421052631579,210,0,0,0.0,0.002498067617416382
20,0,-902,74,-948.4,172,0,0,-133.0,0.0025911311970816717
21,0,-2049,204,-1000.8095238095239,693,0,0,106.09999999999991,0.002943902810414632
22,0,-480,42,-977.1363636363636,71,0,0,68.80000000000007,0.002998556097348531
23,0,-351,32,-949.9130434782609,39,0,0,406.20000000000005,0.0030427683062023586
24,0,-494,43,-930.9166666666666,81,0,0,512.3999999999999,0.003094967338773939
25,0,-685,62,-921.08,152,0,0,482.30000000000007,0.0031725613938437566
26,0,-3016,313,-1001.6538461538462,1020,0,0,206.60000000000002,0.003543875945938958
27,0,-334,38,-976.925925925926,78,0,0,39.39999999999998,0.0035972442229588826
28,0,-1144,112,-982.8928571428571,334,0,0,-109.19999999999993,0.0037351905637317234
29,0,-476,44,-965.4137931034483,100,0,0,-15.300000000000068,0.0038364993201361764
30,0,-1371,140,-978.9333333333333,451,0,0,-25.100000000000023,0.004014498657650418
31,0,-548,57,-965.0322580645161,149,0,0,82.60000000000002,0.004092802272902595
