episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,-514,61,-514.0,173,0,0,0,6.159140004052057e-05
2,0,-2521,253,-1517.5,823,0,0,0,0.00027660886446634927
3,0,-521,58,-1185.3333333333333,163,0,0,0,0.0003273402320014106
4,0,-3948,394,-1876.0,1171,0,0,0,0.0006229216522640653
5,0,-1002,103,-1701.2,328,0,0,0,0.0007146092918184068
6,0,-1591,146,-1682.8333333333333,417,0,0,0,0.0008490411440531413
7,0,-605,74,-1528.857142857143,204,0,0,0,0.0009354911910163031
8,0,-911,93,-1451.625,249,0,0,0,0.0010178704394234552
9,0,-584,61,-1355.2222222222222,156,0,0,0,0.0010725740591684978
10,0,-873,89,-1307.0,272,0,0,0.0,0.0011490029758877225
11,0,-522,65,-1235.6363636363637,187,0,0,0.0,0.0012054653962453206
12,0,-290,32,-1156.8333333333333,60,0,0,0.0,0.001234803729587131
13,0,-442,40,-1101.8461538461538,84,0,0,0.0,0.001267615622944302
14,0,-927,82,-1089.357142857143,217,0,0,0.0,0.0013335096173816257
15,0,-1498,149,-1116.6,416,0,0,0.0,0.0014477914571762085
16,0,-371,29,-1070.0,38,0,0,0.0,0.001472404466734992
17,0,-993,112,-1065.4705882352941,368,0,0,0.0,0.0015605142381456163
18,0,-560,59,-1037.388888888889,156,0,0,0.0,0.00160789065890842
19,0,-744,68,-1021.9473684210526,188,0,0,0.0,0.0016658498181237114
20,0,-779,92,-1009.8,262,0,0,594.4,0.0017409704791174995
21,0,-334,32,-977.6190476190476,57,0,0,614.0,0.0017653894424438476
22,0,-1011,111,-979.1363636363636,356,0,0,318.80000000000007,0.0018516062365637885
23,0,-906,90,-975.9565217391304,270,0,0,264.5,0.0019512634807162814
24,0,-998,95,-976.875,274,0,0,-44.69999999999993,0.00207414706548055
25,0,-368,34,-952.52,52,0,0,117.89999999999998,0.002115409771601359
26,0,-837,82,-948.0769230769231,196,0,0,-50.700000000000045,0.002186488111813863
27,0,-392,42,-927.4814814814815,104,0,0,48.200000000000045,0.0022241547372606066
28,0,-442,44,-910.1428571428571,96,0,0,24.899999999999977,0.002260520789358351
29,0,-488,47,-895.5862068965517,90,0,0,66.5,0.0022957730293273926
30,0,-910,95,-896.0666666666667,265,0,0,44.0,0.002376731369230482
31,0,-526,62,-884.1290322580645,157,0,0,6.0,0.0024218494362301295
32,0,-1234,135,-895.0625,402,0,0,55.799999999999955,0.0025292625692155627
33,0,-378,38,-879.3939393939394,68,0,0,155.0,0.002562496463457743
34,0,-1659,159,-902.3235294117648,479,0,0,96.0,0.0026799606614642674
35,0,-895,83,-902.1142857142858,198,0,0,-69.70000000000005,0.0027529082695643106
36,0,-750,79,-897.8888888888889,218,0,0,-14.399999999999977,0.0028206154372957017
37,0,-500,52,-887.1351351351351,124,0,0,-85.30000000000007,0.002867420514424642
38,0,-361,36,-873.2894736842105,53,0,0,-89.0,0.0029020149177975125
39,0,-339,34,-859.5897435897435,78,0,0,-99.70000000000005,0.002937732537587484
40,0,-1428,124,-873.8,351,0,0,-138.39999999999998,0.0030541696151097615
41,0,-482,49,-864.2439024390244,91,0,0,-114.80000000000007,0.003124140633477105
42,0,-1137,112,-870.7380952380952,334,0,0,-82.79999999999995,0.003258259958691067
43,0,-674,70,-866.1627906976744,171,0,0,-165.20000000000005,0.0033187682761086357
44,0,-871,93,-866.2727272727273,262,0,0,-20.300000000000068,0.0034070024887720746
45,0,-452,38,-857.0666666666667,75,0,0,76.70000000000005,0.003441483047273424
46,0,-209,28,-842.9782608695652,57,0,0,122.10000000000002,0.0034623159302605523
47,0,-359,33,-832.6808510638298,70,0,0,147.0,0.0034942417012320624
48,0,-471,53,-825.1458333333334,136,0,0,127.89999999999998,0.0035332440667682225
49,0,-848,91,-825.6122448979592,257,0,0,62.10000000000002,0.003607440855767992
50,0,-386,40,-816.82,89,0,0,218.10000000000002,0.003638723956214057
51,0,-303,35,-806.7450980392157,57,0,0,231.60000000000002,0.0036689503325356377
52,0,-323,35,-797.4423076923077,66,0,0,303.29999999999995,0.0037014061212539673
53,0,-688,71,-795.377358490566,155,0,0,331.5,0.003756577836142646
54,0,-261,25,-785.4814814814815,35,0,0,313.70000000000005,0.003775280647807651
55,0,-840,81,-786.4727272727273,219,0,0,230.59999999999997,0.003850489788585239
56,0,-441,45,-780.3035714285714,106,0,0,153.29999999999995,0.0038970775736702815
57,0,-384,38,-773.3508771929825,93,0,0,136.70000000000005,0.003931295143233406
58,0,-291,31,-765.0344827586207,61,0,0,165.70000000000005,0.003958156307538351
59,0,-362,39,-758.2033898305085,59,0,0,265.20000000000005,0.003985899620585972
60,0,-234,23,-749.4666666666667,27,0,0,176.2,0.0040081969896952315
61,0,-1011,101,-753.7540983606557,280,0,0,87.5,0.004097611241870456
62,0,-755,75,-753.7741935483871,191,0,0,-37.10000000000002,0.004163482520315382
63,0,-309,35,-746.7142857142857,61,0,0,2.1999999999999886,0.0041924520333607995
64,0,-239,20,-738.78125,12,0,0,-56.60000000000002,0.004221355782614814
65,0,-337,34,-732.6,61,0,0,32.5,0.004259288244777256
66,0,-654,55,-731.4090909090909,109,0,0,34.39999999999998,0.004327811333868239
67,0,-1157,116,-737.7611940298508,355,0,0,-40.39999999999998,0.004420771996180217
68,0,-535,52,-734.7794117647059,135,0,0,-82.79999999999995,0.004459781448046366
69,0,-431,37,-730.3768115942029,53,0,0,-138.30000000000007,0.004484944144884745
70,0,-1149,99,-736.3571428571429,242,0,0,-245.00000000000006,0.0045636323425504895
71,0,-1425,133,-746.056338028169,327,0,0,-215.60000000000002,0.004674048754904005
72,0,-668,77,-744.9722222222222,236,0,0,-163.69999999999993,0.004732468061976963
73,0,-908,82,-747.2054794520548,199,0,0,-261.49999999999994,0.004799289239777459
74,0,-274,30,-740.8108108108108,64,0,0,-267.19999999999993,0.004834476444456313
75,0,-531,52,-738.0133333333333,110,0,0,-336.90000000000003,0.004886776804924011
76,0,-611,48,-736.3421052631579,81,0,0,-311.29999999999995,0.00492957439687517
77,0,-697,61,-735.8311688311688,119,0,0,-188.0,0.004982739355829027
78,0,-241,22,-729.4871794871794,28,0,0,-134.20000000000005,0.005001131031248305
79,0,-413,38,-725.4810126582279,53,0,0,-125.5,0.0050344046619203355
80,0,-399,37,-721.4,59,0,0,41.0,0.005064947538905674
81,0,-505,48,-718.7283950617284,83,0,0,174.39999999999998,0.005106078717443678
82,0,-328,31,-713.9634146341464,37,0,0,199.7,0.005138232244385614
83,0,-303,25,-709.0120481927711,16,0,0,320.09999999999997,0.005160902937253316
84,0,-416,40,-705.5238095238095,108,0,0,309.4,0.005200717846552531
85,0,-605,61,-704.3411764705883,162,0,0,321.40000000000003,0.005258108377456665
86,0,-560,47,-702.6627906976744,91,0,0,322.2,0.005295291874143813
87,0,-277,21,-697.7701149425287,17,0,0,318.2,0.005314940081702338
88,0,-281,26,-693.0340909090909,44,0,0,284.8,0.005338757038116455
89,0,-617,58,-692.1797752808989,95,0,0,262.6,0.005417895449532403
90,0,-521,47,-690.2777777777778,74,0,0,175.40000000000003,0.005490440527598063
91,0,-281,29,-685.7802197802198,32,0,0,105.80000000000007,0.0055288195610046385
92,0,-539,57,-684.1847826086956,110,0,0,50.69999999999999,0.005589406026734246
93,0,-274,31,-679.7741935483871,46,0,0,-6.900000000000034,0.005622118579016792
94,0,-189,17,-674.5531914893617,4,0,0,30.0,0.005642067061530219
95,0,-260,26,-670.1894736842105,30,0,0,71.90000000000003,0.005669203201929728
96,0,-242,29,-665.7291666666666,35,0,0,98.59999999999997,0.005700790550973681
97,0,-293,31,-661.8865979381443,36,0,0,55.0,0.005731543766127692
98,0,-216,17,-657.3367346938776,0,0,0,65.5,0.005747950010829501
99,0,-254,24,-653.2626262626262,15,0,0,122.20000000000005,0.00577181703514523
100,0,-287,26,-649.6,36,0,0,157.8,0.0057968877421485055
101,0,-221,24,-646.67,34,0,0,141.39999999999998,0.005828985902998182
102,0,-320,31,-624.66,50,0,0,184.4,0.005856585370169746
103,0,-249,25,-621.94,11,0,0,184.00000000000003,0.005880683461825053
104,0,-202,18,-584.48,3,0,0,159.99999999999997,0.005897845360967848
105,0,-173,19,-576.19,17,0,0,134.2,0.005916758047209846
106,0,-193,17,-562.21,4,0,0,107.30000000000001,0.005937139325671726
107,0,-229,21,-558.45,5,0,0,115.29999999999998,0.005965234571033054
108,0,-234,21,-551.68,7,0,0,107.0,0.00599096847905053
109,0,-223,20,-548.07,0,0,0,73.79999999999998,0.006012516352865431
110,0,-214,21,-541.48,0,0,0,57.69999999999999,0.006039478116565281
111,0,-196,19,-538.22,0,0,0,54.19999999999999,0.006059621837404039
112,0,-233,22,-537.65,0,0,0,41.0,0.006086135705312093
113,0,-179,18,-535.02,4,0,0,45.5,0.0061094874805874295
114,0,-234,24,-528.09,6,0,0,43.599999999999994,0.006144767999649048
115,0,-186,17,-514.97,0,0,0,33.599999999999994,0.006162973377439711
116,0,-204,19,-513.3,0,0,0,27.600000000000023,0.006185930768648784
117,0,-192,18,-505.29,0,0,0,24.900000000000006,0.0062060261434978906
118,0,-167,16,-501.36,3,0,0,33.39999999999998,0.006221455269389682
119,0,-201,19,-495.93,0,0,0,32.5,0.00623674386077457
120,0,-172,17,-489.86,0,0,0,29.400000000000006,0.006258463925785489
121,0,-221,22,-488.73,3,0,0,24.400000000000006,0.006287800735897488
122,0,-194,19,-480.56,0,0,0,19.599999999999994,0.0063110587331983775
123,0,-243,23,-473.93,0,0,0,6.199999999999989,0.006335639423794216
124,0,-191,17,-465.86,0,0,0,13.700000000000017,0.0063526672124862675
125,0,-201,21,-464.19,8,0,0,13.5,0.006369365983539157
126,0,-183,18,-457.65,0,0,0,16.69999999999999,0.006387554738256666
127,0,-169,16,-455.42,0,0,0,15.300000000000011,0.006423125267028809
128,0,-188,18,-452.88,0,0,0,6.5,0.006440102524227566
129,0,-198,19,-449.98,3,0,0,4.599999999999994,0.006458292934629652
130,0,-161,16,-442.49,0,0,0,1.5,0.006473623977767097
131,0,-225,22,-439.48,5,0,0,3.5999999999999943,0.0064916524622175426
132,0,-227,22,-429.41,0,0,0,-3.5999999999999943,0.006510128445095486
133,0,-182,17,-427.45,0,0,0,8.900000000000006,0.006523549225595262
134,0,-205,20,-412.91,0,0,0,3.1999999999999886,0.0065401332245932685
135,0,-193,18,-405.89,0,0,0,5.5,0.006556679871347215
136,0,-191,19,-400.3,2,0,0,2.5999999999999943,0.0065725331174002755
137,0,-211,21,-397.41,0,0,0,-3.9000000000000057,0.006590948104858398
138,0,-167,17,-395.47,0,0,0,0.30000000000001137,0.006607617802090115
139,0,-160,15,-393.68,0,0,0,3.8000000000000114,0.0066182936562432185
140,0,-172,17,-381.12,0,0,0,1.5999999999999943,0.006631020373768276
141,0,-215,20,-378.45,0,0,0,3.0,0.006645779278543261
142,0,-216,21,-369.24,0,0,0,7.400000000000006,0.006671277085940043
143,0,-159,17,-364.09,1,0,0,3.5999999999999943,0.00669983254538642
144,0,-205,20,-357.43,0,0,0,5.0,0.006718843579292298
145,0,-172,17,-354.63,0,0,0,6.299999999999983,0.006735874613126119
146,0,-183,18,-354.37,0,0,0,7.900000000000006,0.006767069233788384
147,0,-183,18,-352.61,0,0,0,14.900000000000006,0.00679606815179189
148,0,-226,21,-350.16,0,0,0,6.900000000000006,0.006816507909033033
149,0,-150,15,-343.18,0,0,0,4.099999999999994,0.00683194273047977
150,0,-260,25,-341.92,0,0,0,-3.5999999999999943,0.006856068372726441
151,0,-171,16,-340.6,0,0,0,-0.19999999999998863,0.006873089075088501
152,0,-200,20,-339.37,0,0,0,0.29999999999998295,0.006892048915227254
153,0,-171,16,-334.2,0,0,0,-3.1999999999999886,0.006905333598454793
154,0,-205,20,-333.64,0,0,0,-3.1999999999999886,0.006923270755343967
155,0,-215,20,-327.39,0,0,0,-9.599999999999994,0.006939678523275587
156,0,-210,20,-325.08,0,0,0,-13.099999999999994,0.0069556325674057
157,0,-177,17,-323.01,0,0,0,-15.300000000000011,0.006972029540273878
158,0,-200,20,-322.1,0,0,0,-6.800000000000011,0.006987557609875997
159,0,-215,20,-320.63,0,0,0,-14.300000000000011,0.007004289891984728
160,0,-180,18,-320.09,2,0,0,2.5,0.007019813656806945
161,0,-176,17,-311.74,3,0,0,-2.4000000000000057,0.007036313679483202
162,0,-177,17,-305.96,0,0,0,-1.6999999999999886,0.007052275538444519
163,0,-215,20,-305.02,0,0,0,-4.900000000000006,0.0070686717165841
164,0,-217,22,-304.8,0,0,0,-6.099999999999994,0.007088314692179362
165,0,-172,17,-303.15,0,0,0,2.5,0.007106246484650506
166,0,-188,18,-298.49,0,0,0,7.400000000000006,0.007123770713806152
167,0,-194,19,-288.86,0,0,0,5.099999999999994,0.007140561938285828
168,0,-165,16,-285.16,2,0,0,6.0,0.007156507107946608
169,0,-182,17,-282.67,0,0,0,15.800000000000011,0.007174359096421136
170,0,-258,25,-273.76,2,0,0,0.0,0.007200133866733975
171,0,-183,18,-261.34,0,0,0,-0.19999999999998863,0.007219296495119731
172,0,-183,18,-256.49,0,0,0,-3.0999999999999943,0.007239727775255839
173,0,-182,17,-249.23,0,0,0,4.599999999999994,0.007255838049782647
174,0,-193,18,-248.42,0,0,0,8.199999999999989,0.007274119324154324
175,0,-243,23,-245.54,0,0,0,-3.1999999999999886,0.007292826175689698
176,0,-182,17,-241.25,0,0,0,-4.800000000000011,0.007307163079579671
177,0,-155,15,-235.83,0,0,0,0.8000000000000114,0.007320780489179823
178,0,-210,20,-235.52,0,0,0,-7.199999999999989,0.007337511115603977
179,0,-183,18,-233.22,0,0,0,-10.599999999999994,0.007350782553354899
180,0,-166,16,-230.89,0,0,0,6.400000000000006,0.007363847295443217
181,0,-170,17,-227.54,2,0,0,8.400000000000006,0.007382087508837382
182,0,-222,22,-226.48,0,0,0,5.099999999999994,0.007405281133121914
183,0,-237,22,-225.82,0,0,0,-3.6999999999999886,0.007430583172374302
184,0,-215,20,-223.81,0,0,0,-8.300000000000011,0.0074466002649731106
185,0,-177,17,-219.53,0,0,0,5.400000000000006,0.007462073167165121
186,0,-166,16,-215.59,0,0,0,6.400000000000006,0.007478539413876004
187,0,-194,19,-214.76,0,0,0,-1.4000000000000057,0.007495933506223891
188,0,-183,18,-213.78,0,0,0,5.799999999999983,0.007513187527656555
189,0,-238,23,-209.99,0,0,0,0.39999999999997726,0.0075380566385057236
190,0,-216,21,-206.94,0,0,0,-13.800000000000011,0.007559955716133117
191,0,-210,20,-206.23,0,0,0,-19.100000000000023,0.007577914463149177
192,0,-147,15,-202.31,3,0,0,-7.700000000000017,0.007594408657815722
193,0,-160,15,-201.17,0,0,0,5.5,0.007609728972117106
194,0,-182,17,-201.1,0,0,0,11.0,0.007624746097458734
195,0,-183,18,-200.33,0,0,0,3.799999999999983,0.007643213537004259
196,0,-160,15,-199.51,0,0,0,2.799999999999983,0.007664280600017972
197,0,-226,21,-198.84,0,0,0,3.5,0.007694928712315029
198,0,-178,18,-198.46,0,0,0,1.3000000000000114,0.007726901504728529
199,0,-260,25,-198.52,0,0,0,4.600000000000023,0.00775328795115153
200,0,-204,19,-197.69,0,0,0,10.800000000000011,0.00777326868640052
201,0,-193,18,-197.41,0,0,0,16.5,0.007795885072814094
202,0,-148,16,-195.69,3,0,0,8.900000000000006,0.007826441791322497
203,0,-216,21,-195.36,0,0,0,-4.400000000000006,0.007856902612580194
204,0,-188,18,-195.22,0,0,0,-8.299999999999983,0.007881403764088949
205,0,-177,17,-195.26,0,0,0,-7.099999999999994,0.007899255355199178
206,0,-182,17,-195.15,0,0,0,-9.899999999999977,0.007916719184981453
207,0,-204,19,-194.9,0,0,0,-4.5,0.007944338719050089
208,0,-216,21,-194.72,0,0,0,-8.800000000000011,0.007968616353140936
209,0,-216,21,-194.65,0,0,0,-2.200000000000017,0.007999205787976582
210,0,-194,19,-194.45,0,0,0,-2.4000000000000057,0.008018741740120782
211,0,-200,20,-194.49,0,0,0,-4.799999999999983,0.008038104308976068
212,0,-193,18,-194.09,0,0,0,-9.199999999999989,0.008057229850027296
213,0,-161,16,-193.91,0,0,0,1.9000000000000057,0.008074675798416137
214,0,-215,20,-193.72,0,0,0,-0.20000000000001705,0.008093957702318827
215,0,-199,19,-193.85,0,0,0,-3.0,0.00811364922258589
216,0,-171,16,-193.52,0,0,0,0.29999999999998295,0.008131545318497552
217,0,-198,21,-193.58,3,0,0,-1.3000000000000114,0.008151429957813686
218,0,-182,17,-193.73,0,0,0,5.900000000000006,0.00816776904794905
219,0,-205,20,-193.77,0,0,0,2.5999999999999943,0.008185968067910936
220,0,-204,19,-194.09,0,0,0,0.5999999999999943,0.008203805420133803
221,0,-194,19,-193.82,0,0,0,1.9000000000000057,0.008218610220485263
222,0,-171,16,-193.59,0,0,0,8.599999999999994,0.008236060937245687
223,0,-182,17,-192.98,0,0,0,1.0,0.008253819346427917
224,0,-178,18,-192.85,0,0,0,7.400000000000006,0.008269138998455472
225,0,-168,18,-192.52,0,0,0,12.699999999999989,0.008284782965977986
226,0,-200,20,-192.69,0,0,0,8.700000000000017,0.008300965560807122
227,0,-188,18,-192.88,0,0,0,9.100000000000023,0.008318685756789313
228,0,-189,19,-192.89,0,0,0,5.0,0.008335444264941745
229,0,-171,16,-192.62,0,0,0,7.300000000000011,0.008350600467787848
230,0,-189,19,-192.9,0,0,0,9.800000000000011,0.0083669599559572
231,0,-193,18,-192.58,0,0,0,9.299999999999983,0.008387164605988397
232,0,-150,15,-191.81,0,0,0,9.199999999999989,0.00840607868300544
233,0,-182,17,-191.81,0,0,0,11.299999999999983,0.008425351116392348
234,0,-194,19,-191.7,0,0,0,6.0,0.008444187574916415
235,0,-204,19,-191.81,0,0,0,-0.6999999999999886,0.008466515607304043
236,0,-183,18,-191.73,0,0,0,3.8999999999999773,0.008487237029605441
237,0,-227,22,-191.89,0,0,0,-1.0,0.008510599732398988
238,0,-254,24,-192.76,0,0,0,-6.799999999999983,0.008540178603596158
239,0,-193,18,-193.09,0,0,0,-12.400000000000006,0.00855587104956309
240,0,-182,17,-193.19,0,0,0,-13.199999999999989,0.008572131925159031
241,0,-205,20,-193.09,0,0,0,-14.5,0.008591731521818373
242,0,-160,16,-192.53,2,0,0,-17.599999999999994,0.008604509366883171
243,0,-204,19,-192.98,0,0,0,-19.799999999999983,0.008624182542165121
244,0,-171,16,-192.64,0,0,0,-15.900000000000006,0.008639812601937188
245,0,-238,23,-193.3,0,0,0,-15.699999999999989,0.00866249356004927
246,0,-204,19,-193.51,0,0,0,-19.5,0.008679980701870389
247,0,-173,18,-193.41,0,0,0,-10.200000000000017,0.008694451914893256
248,0,-215,20,-193.3,0,0,0,0.19999999999998863,0.00870931261115604
249,0,-215,20,-193.95,0,0,0,0.20000000000001705,0.008724759088622198
250,0,-183,18,-193.18,0,0,0,-0.6000000000000227,0.00873864750067393
251,0,-198,23,-193.45,0,0,0,1.3000000000000114,0.008759584691789415
252,0,-205,20,-193.5,0,0,0,-2.1999999999999886,0.008774766723314922
253,0,-172,17,-193.51,0,0,0,3.1999999999999886,0.00878945529460907
254,0,-199,19,-193.45,0,0,0,-1.8999999999999773,0.008808335529433357
255,0,-216,21,-193.46,0,0,0,3.6999999999999886,0.00882782777150472
256,0,-156,16,-192.92,0,0,0,10.600000000000023,0.008841247823503283
257,0,-188,18,-193.03,0,0,0,3.700000000000017,0.0088557411564721
