episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,4,0,4,0.0,0,0,0,0,3.164211908976237e-06
2,8,0,4,0.0,0,0,0,0,3.71959474351671e-06
3,12,0,4,0.0,0,0,0,0,4.830890231662326e-06
4,16,0,4,0.0,0,0,0,0,5.663832028706868e-06
5,20,0,4,0.0,0,0,0,0,6.219413545396593e-06
6,24,0,4,0.0,0,0,0,0,7.053348753187392e-06
7,28,0,4,0.0,0,0,0,0,7.886687914530436e-06
8,32,0,4,0.0,0,0,0,0,9.05401176876492e-06
9,36,0,4,0.0,0,0,0,0,9.609593285454644e-06
10,40,0,4,0.0,0,0,0,0.0,1.0443064901563856e-05
11,44,0,4,0.0,0,0,0,0.0,1.1553896798027887e-05
12,48,0,4,0.0,0,0,0,0.0,1.2728108300103082e-05
13,52,0,4,0.0,0,0,0,0.0,1.4672676722208658e-05
14,56,0,4,0.0,0,0,0,0.0,1.5505353609720865e-05
15,60,0,4,0.0,0,0,0,0.0,1.6339288817511665e-05
16,64,0,4,0.0,0,0,0,0.0,1.717229684193929e-05
17,68,0,4,0.0,0,0,0,0.0,1.8838710255093046e-05
18,72,0,4,0.0,0,0,0,0.0,1.9672844145033094e-05
19,76,0,4,0.0,0,0,0,0.0,2.050598462422689e-05
20,80,0,4,0.0,0,0,0,0.0,2.1339323785569933e-05
21,84,0,4,0.0,0,0,0,0.0,2.2172662946912977e-05
22,88,0,4,0.0,0,0,0,0.0,2.3006002108256023e-05
23,92,0,4,0.0,0,0,0,0.0,2.3561583624945745e-05
24,96,0,4,0.0,0,0,0,0.0,2.4394657876756456e-05
25,100,0,4,0.0,0,0,0,0.0,2.550628450181749e-05
26,104,0,4,0.0,0,0,0,0.0,2.6061468654208713e-05
27,108,0,4,0.0,0,0,0,0.0,2.689487404293484e-05
28,112,0,4,0.0,0,0,0,0.0,2.772827943166097e-05
29,116,0,4,0.0,0,0,0,0.0,2.8561221228705514e-05
30,120,0,4,0.0,0,0,0,0.0,2.939780553181966e-05
31,124,0,4,0.0,0,0,0,0.0,3.133859899308947e-05
32,128,0,4,0.0,0,0,0,0.0,3.2172070609198674e-05
33,132,0,4,0.0,0,0,0,0.0,3.272758589850532e-05
34,136,0,4,0.0,0,0,0,0.0,3.356085883246528e-05
35,140,0,4,0.0,0,0,0,0.0,3.4672750367058646e-05
36,144,0,4,0.0,0,0,0,0.0,3.5505824618869356e-05
37,148,0,4,0.0,0,0,0,0.0,3.633903132544624e-05
38,152,0,4,0.0,0,0,0,0.0,3.689461284213596e-05
39,156,0,4,0.0,0,0,0,0.0,3.772808445824517e-05
40,160,0,4,0.0,0,0,0,0.0,3.9505031373765736e-05
41,164,0,4,0.0,0,0,0,0.0,4.039996200137668e-05
42,168,0,4,0.0,0,0,0,0.0,4.1233301162719725e-05
43,172,0,4,0.0,0,0,0,0.0,4.17886839972602e-05
44,176,0,4,0.0,0,0,0,0.0,4.262202315860324e-05
45,180,0,4,0.0,0,0,0,0.0,4.345662064022488e-05
46,184,0,4,0.0,0,0,0,0.0,4.456692271762424e-05
47,188,0,4,0.0,0,0,0,0.0,4.512329896291097e-05
48,192,0,4,0.0,0,0,0,0.0,4.5677423477172853e-05
49,196,0,4,0.0,0,0,0,0.0,4.623326990339491e-05
50,200,0,4,0.0,0,0,0,0.0,4.706667529212104e-05
51,204,0,4,0.0,0,0,0,0.0,4.901607831319173e-05
52,208,0,4,0.0,0,0,0,0.0,4.984458287556966e-05
53,212,0,4,0.0,0,0,0,0.0,5.067719353569878e-05
54,216,0,4,0.0,0,0,0,0.0,5.15135129292806e-05
55,220,0,4,0.0,0,0,0,0.0,5.234440167744955e-05
56,224,0,4,0.0,0,0,0,0.0,5.3456756803724504e-05
