episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,4,0,4,0.0,0,0,0,0,4.163318210177952e-06
2,8,0,4,0.0,0,0,0,0,4.719826910230848e-06
3,12,0,4,0.0,0,0,0,0,5.553364753723145e-06
4,16,0,4,0.0,0,0,0,0,6.108416451348199e-06
5,20,0,4,0.0,0,0,0,0,6.664262877570258e-06
6,24,0,4,0.0,0,0,0,0,7.512105835808648e-06
7,28,0,4,0.0,0,0,0,0,8.052057690090603e-06
8,32,0,4,0.0,0,0,0,0,8.330411381191678e-06
9,36,0,4,0.0,0,0,0,0,8.885727988349067e-06
10,40,0,4,0.0,0,0,0,0.0,9.496609369913736e-06
11,44,0,4,0.0,0,0,0,0.0,1.0052124659220378e-05
12,48,0,4,0.0,0,0,0,0.0,1.06073088116116e-05
13,52,0,4,0.0,0,0,0,0.0,1.1441508928934734e-05
14,56,0,4,0.0,0,0,0,0.0,1.1996560626559787e-05
15,60,0,4,0.0,0,0,0,0.0,1.2830164697435166e-05
16,64,0,4,0.0,0,0,0,0.0,1.310831970638699e-05
17,68,0,4,0.0,0,0,0,0.0,1.3664232359992133e-05
18,72,0,4,0.0,0,0,0,0.0,1.4218886693318685e-05
19,76,0,4,0.0,0,0,0,0.0,1.4774401982625326e-05
20,80,0,4,0.0,0,0,0,0.0,1.5330380863613553e-05
21,84,0,4,0.0,0,0,0,0.0,1.617590586344401e-05
22,88,0,4,0.0,0,0,0,0.0,1.671910285949707e-05
23,92,0,4,0.0,0,0,0,0.0,1.7280512385898166e-05
24,96,0,4,0.0,0,0,0,0.0,1.7829802301194933e-05
25,100,0,4,0.0,0,0,0,0.0,1.839121182759603e-05
26,104,0,4,0.0,0,0,0,0.0,1.866320768992106e-05
27,108,0,4,0.0,0,0,0,0.0,1.921852429707845e-05
28,112,0,4,0.0,0,0,0,0.0,1.977947023179796e-05
29,116,0,4,0.0,0,0,0,0.0,2.0329886012607152e-05
30,120,0,4,0.0,0,0,0,0.0,2.0885335074530707e-05
31,124,0,4,0.0,0,0,0,0.0,2.144051922692193e-05
32,128,0,4,0.0,0,0,0,0.0,2.199656433529324e-05
33,132,0,4,0.0,0,0,0,0.0,2.2274388207329646e-05
34,136,0,4,0.0,0,0,0,0.0,2.282963858710395e-05
35,140,0,4,0.0,0,0,0,0.0,2.3385021421644424e-05
36,144,0,4,0.0,0,0,0,0.0,2.394278844197591e-05
37,148,0,4,0.0,0,0,0,0.0,2.4552875094943576e-05
38,152,0,4,0.0,0,0,0,0.0,2.5108655293782552e-05
39,156,0,4,0.0,0,0,0,0.0,2.5663375854492188e-05
40,160,0,4,0.0,0,0,0,0.0,2.6218957371181913e-05
41,164,0,4,0.0,0,0,0,0.0,2.6774870024787055e-05
42,168,0,4,0.0,0,0,0,0.0,2.733012040456136e-05
43,172,0,4,0.0,0,0,0,0.0,2.7886033058166505e-05
44,176,0,4,0.0,0,0,0,0.0,2.8441614574856227e-05
45,180,0,4,0.0,0,0,0,0.0,2.871937221950955e-05
46,184,0,4,0.0,0,0,0,0.0,2.9831528663635254e-05
47,188,0,4,0.0,0,0,0,0.0,3.0386845270792644e-05
48,192,0,4,0.0,0,0,0,0.0,3.0664470460679796e-05
49,196,0,4,0.0,0,0,0,0.0,3.121978706783719e-05
50,200,0,4,0.0,0,0,0,0.0,3.1775633494059246e-05
51,204,0,4,0.0,0,0,0,0.0,3.3720996644761825e-05
52,208,0,4,0.0,0,0,0,0.0,3.42759821150038e-05
53,212,0,4,0.0,0,0,0,0.0,3.5108526547749836e-05
54,216,0,4,0.0,0,0,0,0.0,3.5386416647169324e-05
55,220,0,4,0.0,0,0,0,0.0,3.594193193647597e-05
56,224,0,4,0.0,0,0,0,0.0,3.649731477101644e-05
57,228,0,4,0.0,0,0,0,0.0,3.7330720159742567e-05
58,232,0,4,0.0,0,0,0,0.0,3.7886566585964624e-05
59,236,0,4,0.0,0,0,0,0.0,3.844175073835585e-05
60,240,0,4,0.0,0,0,0,0.0,3.928456041547987e-05
61,244,0,4,0.0,0,0,0,0.0,3.98303402794732e-05
62,248,0,4,0.0,0,0,0,0.0,4.038625293307834e-05
63,252,0,4,0.0,0,0,0,0.0,4.0942298041449656e-05
64,256,0,4,0.0,0,0,0,0.0,4.149734973907471e-05
65,260,0,4,0.0,0,0,0,0.0,4.2052666346232095e-05
66,264,0,4,0.0,0,0,0,0.0,4.2607784271240236e-05
67,268,0,4,0.0,0,0,0,0.0,4.2885674370659724e-05
68,272,0,4,0.0,0,0,0,0.0,4.372106658087836e-05
69,276,0,4,0.0,0,0,0,0.0,4.427585336897108e-05
70,280,0,4,0.0,0,0,0,0.0,4.483434889051649e-05
71,284,0,4,0.0,0,0,0,0.0,4.5387281311882864e-05
72,288,0,4,0.0,0,0,0,0.0,4.594292905595568e-05
73,292,0,4,0.0,0,0,0,0.0,4.649751716189914e-05
74,296,0,4,0.0,0,0,0,0.0,4.705303245120578e-05
75,300,0,4,0.0,0,0,0,0.0,4.760874642266168e-05
76,304,0,4,0.0,0,0,0,0.0,4.816545380486382e-05
77,308,0,4,0.0,0,0,0,0.0,4.871964454650879e-05
78,312,0,4,0.0,0,0,0,0.0,4.927469624413384e-05
79,316,0,4,0.0,0,0,0,0.0,4.98305426703559e-05
80,320,0,4,0.0,0,0,0,0.0,5.0385925504896373e-05
81,324,0,4,0.0,0,0,0,0.0,5.094170570373535e-05
82,328,0,4,0.0,0,0,0,0.0,5.121939712100559e-05
83,332,0,4,0.0,0,0,0,0.0,5.177451504601373e-05
84,336,0,4,0.0,0,0,0,0.0,5.2330493927001955e-05
85,340,0,4,0.0,0,0,0,0.0,5.288574430677626e-05
86,344,0,4,0.0,0,0,0,0.0,5.3441259596082896e-05
87,348,0,4,0.0,0,0,0,0.0,5.399710602230496e-05
88,352,0,4,0.0,0,0,0,0.0,5.427486366695828e-05
89,356,0,4,0.0,0,0,0,0.0,5.4830114046732583e-05
90,360,0,4,0.0,0,0,0,0.0,5.538649029201931e-05
91,364,0,4,0.0,0,0,0,0.0,5.594121085272895e-05
92,368,0,4,0.0,0,0,0,0.0,5.649725596110026e-05
93,372,0,4,0.0,0,0,0,0.0,5.7052705023023816e-05
94,376,0,4,0.0,0,0,0,0.0,5.760848522186279e-05
95,380,0,4,0.0,0,0,0,0.0,5.816340446472168e-05
96,384,0,4,0.0,0,0,0,0.0,5.8441625701056585e-05
97,388,0,4,0.0,0,0,0,0.0,5.8996743626064726e-05
98,392,0,4,0.0,0,0,0,0.0,5.9552656279669865e-05
99,396,0,4,0.0,0,0,0,0.0,6.010823779635959e-05
100,400,0,4,0.0,0,0,0,0.0,6.0663753085666234e-05
101,404,0,4,0.0,0,0,0,0.0,6.158530712127686e-05
102,408,0,4,0.0,0,0,0,0.0,6.214963065253363e-05
103,412,0,4,0.0,0,0,0,0.0,6.269620524512397e-05
104,416,0,4,0.0,0,0,0,0.0,6.4085324605306e-05
105,420,0,4,0.0,0,0,0,0.0,6.464083989461263e-05
106,424,0,4,0.0,0,0,0,0.0,6.519628895653619e-05
107,428,0,4,0.0,0,0,0,0.0,6.57510757446289e-05
108,432,0,4,0.0,0,0,0,0.0,6.630665726131862e-05
109,436,0,4,0.0,0,0,0,0.0,6.686309973398844e-05
