episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,4,0,4,0.0,0,0,0,0,4.864732424418131e-06
2,8,0,4,0.0,0,0,0,0,5.699329906039768e-06
3,12,0,4,0.0,0,0,0,0,6.396174430847168e-06
4,16,0,4,0.0,0,0,0,0,6.95486863454183e-06
5,20,0,4,0.0,0,0,0,0,7.510450151231554e-06
6,24,0,4,0.0,0,0,0,0,8.06589921315511e-06
7,28,0,4,0.0,0,0,0,0,8.62174563937717e-06
8,32,0,4,0.0,0,0,0,0,9.177260928683811e-06
9,36,0,4,0.0,0,0,0,0,9.740855958726671e-06
10,40,0,4,0.0,0,0,0,0.0,1.0573863983154297e-05
11,44,0,4,0.0,0,0,0,0.0,1.1406209733751085e-05
12,48,0,4,0.0,0,0,0,0.0,1.1962122387356228e-05
13,52,0,4,0.0,0,0,0,0.0,1.2551479869418674e-05
14,56,0,4,0.0,0,0,0,0.0,1.3095405366685656e-05
15,60,0,4,0.0,0,0,0,0.0,1.3650986883375379e-05
16,64,0,4,0.0,0,0,0,0.0,1.4206700854831272e-05
17,68,0,4,0.0,0,0,0,0.0,1.520660188462999e-05
18,72,0,4,0.0,0,0,0,0.0,1.5729268391927082e-05
19,76,0,4,0.0,0,0,0,0.0,1.628504859076606e-05
20,80,0,4,0.0,0,0,0,0.0,1.656260755327013e-05
21,84,0,4,0.0,0,0,0,0.0,1.711818906995985e-05
22,88,0,4,0.0,0,0,0,0.0,1.7536613676283095e-05
23,92,0,4,0.0,0,0,0,0.0,1.8370548884073892e-05
24,96,0,4,0.0,0,0,0,0.0,1.8926395310295953e-05
25,100,0,4,0.0,0,0,0,0.0,1.9481579462687176e-05
26,104,0,4,0.0,0,0,0,0.0,1.975940333472358e-05
27,108,0,4,0.0,0,0,0,0.0,2.0455850495232475e-05
28,112,0,4,0.0,0,0,0,0.0,2.1011961830986872e-05
29,116,0,4,0.0,0,0,0,0.0,2.156727843814426e-05
30,120,0,4,0.0,0,0,0,0.0,2.212246259053548e-05
