episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,0,1024,0.0,0,0,0,0,0.0008767843908733792
2,0,0,1024,0.0,0,0,0,0,0.003627594576941596
3,0,0,1024,0.0,0,0,0,0,0.00648088276386261
4,0,0,1024,0.0,0,0,0,0,0.009548999004893833
5,0,0,1024,0.0,0,0,0,0,0.012324382729000516
6,0,0,1024,0.0,0,0,0,0,0.015290408200687833
7,0,0,1024,0.0,0,0,0,0,0.018169569969177245
8,0,0,1024,0.0,0,0,0,0,0.019801172614097595
9,0,0,1024,0.0,0,0,0,0,0.02149391558435228
10,0,0,1024,0.0,0,0,0,0.0,0.02322471049096849
11,0,0,1024,0.0,0,0,0,0.0,0.024856869512134127
12,0,0,1024,0.0,0,0,0,0.0,0.026515144771999784
13,0,0,1024,0.0,0,0,0,0.0,0.028164100779427423
14,0,0,1024,0.0,0,0,0,0.0,0.02978549751970503
15,0,0,1024,0.0,0,0,0,0.0,0.031384890543089974
16,0,0,1024,0.0,0,0,0,0.0,0.03307192140155368
17,0,0,1024,0.0,0,0,0,0.0,0.034708923896153765
18,0,0,1024,0.0,0,0,0,0.0,0.03628560258282555
19,0,0,1024,0.0,0,0,0,0.0,0.03796792255507575
20,0,0,1024,0.0,0,0,0,0.0,0.03965761919816335
21,0,0,1024,0.0,0,0,0,0.0,0.041244294378492564
22,0,0,1024,0.0,0,0,0,0.0,0.04286341706911723
23,0,0,1024,0.0,0,0,0,0.0,0.04447994311650594
24,0,0,1024,0.0,0,0,0,0.0,0.0465459132194519
25,0,0,1024,0.0,0,0,0,0.0,0.04896438009209103
26,0,0,1024,0.0,0,0,0,0.0,0.05128970815075768
27,0,0,1024,0.0,0,0,0,0.0,0.05355655007892185
28,0,0,1024,0.0,0,0,0,0.0,0.05545642607741886
29,0,0,1024,0.0,0,0,0,0.0,0.05750321785608927
30,0,0,1024,0.0,0,0,0,0.0,0.05923356466823154
31,0,0,1024,0.0,0,0,0,0.0,0.06118995123439365
32,0,0,1024,0.0,0,0,0,0.0,0.06346498025788201
33,0,0,1024,0.0,0,0,0,0.0,0.06563977301120758
34,0,0,1024,0.0,0,0,0,0.0,0.06854794548617468
35,0,0,1024,0.0,0,0,0,0.0,0.07159585098425547
36,0,0,1024,0.0,0,0,0,0.0,0.07444085088041094
37,0,0,1024,0.0,0,0,0,0.0,0.07742452250586615
38,0,0,1024,0.0,0,0,0,0.0,0.0797249135043886
39,0,0,1024,0.0,0,0,0,0.0,0.0817432881726159
40,0,0,1024,0.0,0,0,0,0.0,0.08394857850339678
41,0,0,1024,0.0,0,0,0,0.0,0.08556523376040988
42,0,0,1024,0.0,0,0,0,0.0,0.08768541978465186
43,0,0,1024,0.0,0,0,0,0.0,0.08969998134507073
44,0,0,1024,0.0,0,0,0,0.0,0.09172043840090434
45,0,0,1024,0.0,0,0,0,0.0,0.0935591518216663
46,0,0,1024,0.0,0,0,0,0.0,0.09542996823787689
47,0,0,1024,0.0,0,0,0,0.0,0.09765523864163293
48,0,0,1024,0.0,0,0,0,0.0,0.0997360301680035
49,0,0,1024,0.0,0,0,0,0.0,0.10183767689598931
