episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,0,2048,0.0,0,0,0,0,0.001241236792670356
2,0,0,2048,0.0,0,0,0,0,0.005295326908429464
3,0,0,2048,0.0,0,0,0,0,0.009339032106929355
4,0,0,2048,0.0,0,0,0,0,0.013443982601165772
5,0,0,2048,0.0,0,0,0,0,0.017634271846877204
6,0,0,2048,0.0,0,0,0,0,0.02254920721054077
7,0,0,2048,0.0,0,0,0,0,0.026481890678405763
8,0,0,2048,0.0,0,0,0,0,0.031234786245557998
9,0,0,2048,0.0,0,0,0,0,0.03748777157730526
10,0,0,2048,0.0,0,0,0,0.0,0.04372683465480805
11,0,0,2048,0.0,0,0,0,0.0,0.05077914701567756
12,0,0,2048,0.0,0,0,0,0.0,0.057204514543215436
13,0,0,2048,0.0,0,0,0,0.0,0.06291361007425521
14,0,0,2048,0.0,0,0,0,0.0,0.06842366735140483
15,0,0,2048,0.0,0,0,0,0.0,0.07304983211888208
16,0,0,2048,0.0,0,0,0,0.0,0.07693031721644931
17,0,0,2048,0.0,0,0,0,0.0,0.08086231615808274
18,0,0,2048,0.0,0,0,0,0.0,0.08467479964097341
19,0,0,2048,0.0,0,0,0,0.0,0.08855071054564582
20,0,0,2048,0.0,0,0,0,0.0,0.0924383485979504
21,0,0,2048,0.0,0,0,0,0.0,0.09627982596556346
22,0,0,2048,0.0,0,0,0,0.0,0.10030051906903585
23,0,0,2048,0.0,0,0,0,0.0,0.1040953567955229
24,0,0,2048,0.0,0,0,0,0.0,0.10790107170740763
25,0,0,2048,0.0,0,0,0,0.0,0.11188845574855805
