episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,0,2048,0.0,0,0,0,0,0.0007244261768129137
2,0,0,2048,0.0,0,0,0,0,0.0034768841001722546
3,0,0,2048,0.0,0,0,0,0,0.007251043054792616
4,0,0,2048,0.0,0,0,0,0,0.011536309387948779
5,0,0,2048,0.0,0,0,0,0,0.015520706971486409
6,0,0,2048,0.0,0,0,0,0,0.01949749125374688
7,0,0,2048,0.0,0,0,0,0,0.023447794185744393
8,0,0,2048,0.0,0,0,0,0,0.027435785465770298
9,0,0,2048,0.0,0,0,0,0,0.03141510817739698
10,0,0,2048,0.0,0,0,0,0.0,0.0354969021346834
11,0,0,2048,0.0,0,0,0,0.0,0.039548825754059685
12,0,0,2048,0.0,0,0,0,0.0,0.043537111282348634
13,0,0,2048,0.0,0,0,0,0.0,0.04769608769151899
14,0,0,2048,0.0,0,0,0,0.0,0.051673094696468774
15,0,0,2048,0.0,0,0,0,0.0,0.05596801863776313
16,0,0,2048,0.0,0,0,0,0.0,0.06017410503493415
17,0,0,2048,0.0,0,0,0,0.0,0.0643113570743137
18,0,0,2048,0.0,0,0,0,0.0,0.06845306853453319
19,0,0,2048,0.0,0,0,0,0.0,0.07263469205962288
20,0,0,2048,0.0,0,0,0,0.0,0.078682578669654
21,0,0,2048,0.0,0,0,0,0.0,0.08240144597159492
22,0,0,2048,0.0,0,0,0,0.0,0.08523498237133026
23,0,0,2048,0.0,0,0,0,0.0,0.08819401323795319
24,0,0,2048,0.0,0,0,0,0.0,0.09102783103783925
25,0,0,2048,0.0,0,0,0,0.0,0.09396706574492984
