episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,-2642,257,-2642.0,785,0,0,0,0.00025576147768232557
2,0,-535,49,-1588.5,121,0,0,0,0.0003030010726716783
3,0,-256,28,-1144.3333333333333,43,0,0,0,0.00033456093735165064
4,0,-394,41,-956.75,99,0,0,0,0.0003762131929397583
5,0,-608,59,-887.0,177,0,0,0,0.0004212135738796658
6,0,-696,75,-855.1666666666666,192,0,0,0,0.0004872429370880127
7,0,-774,88,-843.5714285714286,249,0,0,0,0.0005570120943917168
8,0,-400,36,-788.125,75,0,0,0,0.0006025065316094293
9,0,-1314,138,-846.5555555555555,405,0,0,0,0.0007006792889700995
10,0,-1091,98,-871.0,251,0,0,0.0,0.0007679463757408989
11,0,-416,52,-829.6363636363636,128,0,0,0.0,0.0008038755920198228
12,0,-539,52,-805.4166666666666,115,0,0,0.0,0.0008408659034305149
13,0,-564,63,-786.8461538461538,169,0,0,0.0,0.0008833279874589708
14,0,-355,36,-756.0,55,0,0,0.0,0.0009063827329211765
15,0,-1969,196,-836.8666666666667,595,0,0,0.0,0.0010346277554829915
16,0,-1849,197,-900.125,593,0,0,0.0,0.0011693637900882297
17,0,-321,30,-866.0588235294117,22,0,0,0.0,0.0011916177140341864
18,0,-598,56,-851.1666666666666,122,0,0,0.0,0.0012286069658067492
19,0,-716,77,-844.0526315789474,222,0,0,0.0,0.0012770987881554497
20,0,-515,49,-827.6,90,0,0,86.79999999999995,0.0013111344310972426
21,0,-1206,115,-845.6190476190476,372,0,0,-214.80000000000007,0.0013878629604975382
22,0,-684,57,-838.2727272727273,116,0,0,-228.9000000000001,0.001423513690630595
23,0,-993,102,-845.0,282,0,0,-241.0,0.0014941293663448757
24,0,-905,96,-847.5,268,0,0,-299.9,0.0015570659769905937
25,0,-731,69,-842.84,166,0,0,-40.0,0.0015978667471143934
26,0,-359,39,-824.2307692307693,76,0,0,224.30000000000007,0.0016245353884167142
27,0,-808,79,-823.6296296296297,205,0,0,130.29999999999995,0.0016815184884601169
28,0,-961,98,-828.5357142857143,292,0,0,113.80000000000007,0.0017443827125761245
29,0,-733,66,-825.2413793103449,189,0,0,52.299999999999955,0.0017869246006011962
30,0,-586,55,-817.2666666666667,145,0,0,-12.399999999999977,0.0018250631623797948
31,0,-652,59,-811.9354838709677,137,0,0,122.0,0.0018597828679614598
32,0,-1292,119,-826.9375,306,0,0,75.70000000000005,0.0019497867425282795
33,0,-418,40,-814.5454545454545,101,0,0,176.10000000000002,0.001981052358945211
34,0,-747,80,-812.5588235294117,192,0,0,246.89999999999998,0.0020332204633288914
35,0,-457,61,-802.4,158,0,0,150.5,0.002089670631620619
36,0,-841,87,-803.4722222222222,248,0,0,-46.700000000000045,0.002151938279469808
37,0,-823,103,-804.0,314,0,0,0.5,0.002215003901057773
38,0,-194,17,-787.9473684210526,5,0,0,113.5,0.002228192157215542
39,0,-844,72,-789.3846153846154,180,0,0,104.10000000000002,0.002274254626697964
40,0,-363,43,-778.725,90,0,0,133.5,0.002302583720948961
41,0,-579,62,-773.8536585365854,171,0,0,85.40000000000009,0.002340988119443258
42,0,-602,60,-769.7619047619048,141,0,0,215.20000000000005,0.0023821377091937596
43,0,-594,65,-765.6744186046511,180,0,0,140.10000000000002,0.0024508172273635864
44,0,-1279,136,-777.3409090909091,394,0,0,71.10000000000002,0.0025448392497168645
