episode,total_steps,episode_reward,episode_length,mean_reward_100,vehicles_processed,total_waiting_time,final_queue_length,convergence_metric,training_time_hours
1,0,-1343,131,-1343.0,392,0,0,0,9.559426042768691e-05
2,0,-3341,325,-2342.0,979,0,0,0,0.00035105519824557834
3,0,-1385,148,-2023.0,467,0,0,0,0.00044771664672427707
4,0,-383,41,-1613.0,109,0,0,0,0.00047776718934377035
5,0,-534,42,-1397.2,79,0,0,0,0.0005062705278396606
6,0,-807,88,-1298.8333333333333,215,0,0,0,0.0005669277906417846
7,0,-738,81,-1218.7142857142858,223,0,0,0,0.0006234170993169149
8,0,-2312,234,-1355.375,706,0,0,0,0.0007661767138375177
9,0,-626,62,-1274.3333333333333,129,0,0,0,0.0008046797911326091
10,0,-896,96,-1236.5,250,0,0,0.0,0.0008663382132848104
11,0,-1455,151,-1256.3636363636363,414,0,0,0.0,0.0009634892808066475
12,0,-1544,157,-1280.3333333333333,451,0,0,0.0,0.001064970956908332
13,0,-820,79,-1244.923076923077,199,0,0,0.0,0.0011175349685880872
14,0,-373,31,-1182.642857142857,45,0,0,0.0,0.0011391980118221707
15,0,-187,17,-1116.2666666666667,14,0,0,0.0,0.0011531118551890056
16,0,-1008,97,-1109.5,292,0,0,0.0,0.0012221170134014553
17,0,-260,25,-1059.5294117647059,27,0,0,0.0,0.001243860059314304
18,0,-513,51,-1029.1666666666667,111,0,0,0.0,0.0012902083661821154
19,0,-535,50,-1003.1578947368421,105,0,0,0.0,0.0013437375095155504
20,0,-1836,199,-1044.8,625,0,0,383.4,0.0014967502488030327
21,0,-448,50,-1016.3809523809524,138,0,0,495.30000000000007,0.001534251504474216
22,0,-797,92,-1006.4090909090909,302,0,0,390.29999999999995,0.001594254838095771
23,0,-359,35,-978.2608695652174,53,0,0,379.9,0.0016198101308610704
24,0,-390,36,-953.75,88,0,0,377.20000000000005,0.0016448628902435303
25,0,-879,93,-950.76,273,0,0,273.29999999999995,0.0017044556803173488
26,0,-279,27,-924.9230769230769,46,0,0,366.29999999999995,0.0017267800701989068
27,0,-574,60,-911.925925925926,138,0,0,287.1,0.0017721443043814764
28,0,-763,74,-906.6071428571429,209,0,0,82.20000000000005,0.0018194916513231065
29,0,-383,45,-888.551724137931,119,0,0,88.30000000000007,0.0018505748112996418
30,0,-325,34,-869.7666666666667,87,0,0,333.4,0.0018744656774732802
31,0,-627,62,-861.9354838709677,143,0,0,214.79999999999995,0.0019216526879204643
32,0,-1289,126,-875.28125,389,0,0,90.90000000000009,0.0020343370570076835
33,0,-281,31,-857.2727272727273,56,0,0,52.60000000000002,0.002072921660211351
34,0,-601,66,-849.7352941176471,163,0,0,33.19999999999993,0.002116293642255995
35,0,-841,95,-849.4857142857143,326,0,0,106.20000000000005,0.002179668214586046
36,0,-581,63,-842.0277777777778,176,0,0,3.1000000000000227,0.002219260666105482
37,0,-885,92,-843.1891891891892,299,0,0,3.3999999999999773,0.0022795901695887247
38,0,-1020,110,-847.8421052631579,278,0,0,2.7000000000000455,0.0023556077480316163
39,0,-335,36,-834.6923076923077,81,0,0,-7.7000000000000455,0.0023818247185813054
40,0,-851,87,-835.1,239,0,0,-211.39999999999998,0.0024371102783415054
41,0,-430,41,-825.219512195122,102,0,0,-173.79999999999995,0.0024634993076324465
42,0,-434,41,-815.9047619047619,96,0,0,-39.10000000000002,0.002493499318758647
43,0,-1148,121,-823.6279069767442,379,0,0,-133.60000000000002,0.0025742610957887437
44,0,-345,39,-812.75,88,0,0,-86.89999999999998,0.0026063936286502415
45,0,-655,64,-809.2444444444444,138,0,0,-72.10000000000002,0.0026541686720318266
46,0,-836,99,-809.8260869565217,288,0,0,-67.39999999999998,0.00271865705649058
47,0,-1115,116,-816.3191489361702,334,0,0,-59.299999999999955,0.002807983292473687
48,0,-612,59,-812.0625,148,0,0,7.199999999999932,0.0028573184543185764
49,0,-431,45,-804.2857142857143,104,0,0,-7.2000000000000455,0.002888538704978095
50,0,-553,60,-799.26,147,0,0,75.20000000000005,0.0029285415675905017
51,0,-480,45,-793.0,100,0,0,50.5,0.002969468567106459
52,0,-622,64,-789.7115384615385,187,0,0,-53.80000000000007,0.003008701139026218
53,0,-370,49,-781.7924528301887,140,0,0,110.70000000000005,0.003045511444409688
54,0,-2183,229,-807.7407407407408,789,0,0,-98.70000000000005,0.0032098488012949626
55,0,-1260,131,-815.9636363636364,415,0,0,-177.80000000000007,0.0032998703585730657
56,0,-1402,157,-826.4285714285714,491,0,0,-208.89999999999998,0.003405013945367601
57,0,-1593,157,-839.8771929824561,418,0,0,-233.70000000000005,0.003498980336719089
58,0,-1754,160,-855.6379310344828,499,0,0,-388.69999999999993,0.0035962013403574625
59,0,-923,90,-856.7796610169491,251,0,0,-428.29999999999995,0.003653299609820048
60,0,-1057,100,-860.1166666666667,254,0,0,-508.5000000000001,0.00372650146484375
61,0,-989,103,-862.2295081967213,289,0,0,-554.4,0.0037884902954101562
62,0,-375,40,-854.3709677419355,98,0,0,-510.89999999999986,0.0038157152467303804
63,0,-605,65,-850.4126984126984,169,0,0,-612.1999999999999,0.0038602036899990505
64,0,-800,83,-849.625,207,0,0,-290.0999999999999,0.003907808396551344
65,0,-880,81,-850.0923076923077,231,0,0,-191.5999999999999,0.0039600319332546655
66,0,-539,49,-845.3787878787879,115,0,0,-48.700000000000045,0.003991438680224948
67,0,-653,65,-842.5074626865671,161,0,0,93.10000000000002,0.0040339400370915735
68,0,-734,75,-840.9117647058823,205,0,0,309.29999999999995,0.004080841210153368
69,0,-493,48,-835.8695652173913,115,0,0,401.5,0.004112378557523092
70,0,-524,50,-831.4142857142857,129,0,0,505.20000000000005,0.004144675069385105
71,0,-577,58,-827.830985915493,157,0,0,597.3,0.004179953535397848
72,0,-1397,132,-835.7361111111111,390,0,0,470.39999999999986,0.004276823666360643
73,0,-331,29,-828.8219178082192,46,0,0,521.3,0.0043072726991441514
74,0,-536,71,-824.8648648648649,221,0,0,409.4,0.004355657233132256
75,0,-1424,144,-832.8533333333334,408,0,0,317.0,0.004439326723416646
76,0,-628,62,-830.1578947368421,156,0,0,221.79999999999995,0.004489239785406325
77,0,-450,57,-825.2207792207793,163,0,0,148.10000000000002,0.004533434708913167
78,0,-1725,167,-836.7564102564103,525,0,0,-53.0,0.0046388041310840185
79,0,-302,29,-829.9873417721519,39,0,0,-76.89999999999998,0.0046569072537952
80,0,-1085,107,-833.175,276,0,0,-186.29999999999995,0.004729367295900981
81,0,-1025,104,-835.5432098765432,288,0,0,-272.29999999999995,0.0047942064868079295
82,0,-702,64,-833.9146341463414,169,0,0,-100.59999999999991,0.004835701651043362
83,0,-1080,106,-836.8795180722891,321,0,0,-202.9000000000001,0.004905475311809116
84,0,-1303,135,-842.4285714285714,413,0,0,-306.0,0.0049876360098520915
85,0,-603,61,-839.6117647058824,173,0,0,-169.5,0.005032492213779025
86,0,-1624,162,-848.7325581395348,463,0,0,-260.19999999999993,0.005156189600626628
87,0,-560,55,-845.4137931034483,155,0,0,-291.5,0.0051900765630933975
88,0,-1004,97,-847.2159090909091,268,0,0,-120.29999999999995,0.005251837306552463
89,0,-931,103,-848.1573033707865,274,0,0,-202.30000000000007,0.005320415695508321
